"Activity" "Subject" "SensorLocation" "AggregationMethod" "mean(value)"
"WALKING_UPSTAIRS" "Test" "tBodyGyroMag" "mean()" -0.20735406242569
"WALKING_UPSTAIRS" "Test" "tBodyGyroMag" "std()" -0.41269395604845
"WALKING_UPSTAIRS" "Test" "tGravityAcc" "mean()" 0.162851554069453
"WALKING_UPSTAIRS" "Test" "tGravityAcc" "std()" -0.928429385442321
"WALKING_UPSTAIRS" "Test" "tGravityAccMag" "mean()" -0.156596937200552
"WALKING_UPSTAIRS" "Test" "tGravityAccMag" "std()" -0.282505793501648
"WALKING_UPSTAIRS" "Train" "fBodyAcc" "mean()" -0.253439649301618
"WALKING_UPSTAIRS" "Train" "fBodyAcc" "std()" -0.103373288570631
"WALKING_UPSTAIRS" "Train" "fBodyAccJerk" "mean()" -0.442182581920935
"WALKING_UPSTAIRS" "Train" "fBodyAccJerk" "std()" -0.46252077517301
"WALKING_UPSTAIRS" "Train" "fBodyAccMag" "mean()" -0.248835990713271
"WALKING_UPSTAIRS" "Train" "fBodyAccMag" "std()" -0.349171321564772
"WALKING_UPSTAIRS" "Train" "fBodyBodyAccJerkMag" "mean()" -0.353468006783504
"WALKING_UPSTAIRS" "Train" "fBodyBodyAccJerkMag" "std()" -0.439910272754185
"WALKING_UPSTAIRS" "Train" "fBodyBodyGyroJerkMag" "mean()" -0.655382609368593
"WALKING_UPSTAIRS" "Train" "fBodyBodyGyroJerkMag" "std()" -0.701593753741845
"WALKING_UPSTAIRS" "Train" "fBodyBodyGyroMag" "mean()" -0.429560837457409
"WALKING_UPSTAIRS" "Train" "fBodyBodyGyroMag" "std()" -0.346609728583225
"WALKING_UPSTAIRS" "Train" "fBodyGyro" "mean()" -0.376879968014958
"WALKING_UPSTAIRS" "Train" "fBodyGyro" "std()" -0.350044627618173
"WALKING_UPSTAIRS" "Train" "tBodyAcc" "mean()" 0.0382863034194564
"WALKING_UPSTAIRS" "Train" "tBodyAcc" "std()" -0.120594743436182
"WALKING_UPSTAIRS" "Train" "tBodyAccJerk" "mean()" 0.0276953313265424
"WALKING_UPSTAIRS" "Train" "tBodyAccJerk" "std()" -0.435528002750012
"WALKING_UPSTAIRS" "Train" "tBodyAccJerkMag" "mean()" -0.38127785952479
"WALKING_UPSTAIRS" "Train" "tBodyAccJerkMag" "std()" -0.38735343572274
"WALKING_UPSTAIRS" "Train" "tBodyAccMag" "mean()" -0.0754501490696831
"WALKING_UPSTAIRS" "Train" "tBodyAccMag" "std()" -0.235551736910382
"WALKING_UPSTAIRS" "Train" "tBodyGyro" "mean()" -0.00896736295080708
"WALKING_UPSTAIRS" "Train" "tBodyGyro" "std()" -0.340490678976707
"WALKING_UPSTAIRS" "Train" "tBodyGyroJerk" "mean()" -0.0689798865093476
"WALKING_UPSTAIRS" "Train" "tBodyGyroJerk" "std()" -0.589235467085474
"WALKING_UPSTAIRS" "Train" "tBodyGyroJerkMag" "mean()" -0.601125454923672
"WALKING_UPSTAIRS" "Train" "tBodyGyroJerkMag" "std()" -0.664181538692451
"WALKING_UPSTAIRS" "Train" "tBodyGyroMag" "mean()" -0.165519411338164
"WALKING_UPSTAIRS" "Train" "tBodyGyroMag" "std()" -0.303978179337558
"WALKING_UPSTAIRS" "Train" "tGravityAcc" "mean()" 0.145716393795942
"WALKING_UPSTAIRS" "Train" "tGravityAcc" "std()" -0.923804611913638
"WALKING_UPSTAIRS" "Train" "tGravityAccMag" "mean()" -0.0754501490696831
"WALKING_UPSTAIRS" "Train" "tGravityAccMag" "std()" -0.235551736910382
